source_id,target_id,similarity
BigCodeBench/921,BigCodeBench/140,0.7097317
BigCodeBench/921,BigCodeBench/156,0.69740653
BigCodeBench/921,BigCodeBench/151,0.6787458
BigCodeBench/921,BigCodeBench/420,0.6714564
BigCodeBench/103,BigCodeBench/661,0.54459417
BigCodeBench/103,BigCodeBench/485,0.533851
BigCodeBench/103,BigCodeBench/496,0.52686507
BigCodeBench/103,BigCodeBench/85,0.50031936
BigCodeBench/103,BigCodeBench/475,0.48555413
BigCodeBench/577,BigCodeBench/127,0.6885836
BigCodeBench/577,BigCodeBench/1134,0.6263501
BigCodeBench/577,BigCodeBench/154,0.6162578
BigCodeBench/577,BigCodeBench/585,0.5068591
BigCodeBench/577,BigCodeBench/130,0.50392854
BigCodeBench/984,BigCodeBench/345,0.761605
BigCodeBench/984,BigCodeBench/690,0.6145529
BigCodeBench/984,BigCodeBench/701,0.59804475
BigCodeBench/984,BigCodeBench/609,0.59702414
BigCodeBench/984,BigCodeBench/588,0.5966882
BigCodeBench/643,BigCodeBench/347,0.54280186
BigCodeBench/643,BigCodeBench/925,0.5035455
BigCodeBench/643,BigCodeBench/889,0.5024981
BigCodeBench/643,BigCodeBench/223,0.466221
BigCodeBench/643,BigCodeBench/140,0.4483183
BigCodeBench/822,BigCodeBench/1119,0.6932769
BigCodeBench/822,BigCodeBench/989,0.6756313
BigCodeBench/822,BigCodeBench/896,0.6498637
BigCodeBench/822,BigCodeBench/125,0.64624274
BigCodeBench/822,BigCodeBench/794,0.6454519
BigCodeBench/490,BigCodeBench/1009,0.71195567
BigCodeBench/490,BigCodeBench/498,0.6354469
BigCodeBench/490,BigCodeBench/1118,0.5454249
BigCodeBench/490,BigCodeBench/158,0.5133505
BigCodeBench/490,BigCodeBench/206,0.49066865
BigCodeBench/924,BigCodeBench/927,0.725382
BigCodeBench/924,BigCodeBench/645,0.6282742
BigCodeBench/924,BigCodeBench/938,0.58356905
BigCodeBench/924,BigCodeBench/674,0.5743197
BigCodeBench/924,BigCodeBench/838,0.5072693
BigCodeBench/1097,BigCodeBench/722,0.4295385
BigCodeBench/1097,BigCodeBench/808,0.4257766
BigCodeBench/1097,BigCodeBench/938,0.41054127
BigCodeBench/1097,BigCodeBench/1027,0.40066954
BigCodeBench/1097,BigCodeBench/372,0.37831175
BigCodeBench/531,BigCodeBench/691,0.64221954
BigCodeBench/531,BigCodeBench/809,0.6365757
BigCodeBench/531,BigCodeBench/623,0.63297755
BigCodeBench/531,BigCodeBench/51,0.6287757
BigCodeBench/531,BigCodeBench/1037,0.6272657
